TAG,DESCRICAO,Min,Max,UNIDADE,LL,L,H,HH
I722DTY3390,GRAU DE SUPERAQUECIMENTO SH1A,0,100,°C,,,30,
I722FY3001,VAZÃO ÁGUA SAÍDA ECONOMIZADOR LADO ESQUERDO,0,700,t/h,,,,
I722FY3005,VAZÃO ÁGUA SAÍDA ECONOMIZADOR LADO DIREITO,0,700,t/h,,,,
I722FY3007,VAZÃO ÁGUA RECIRCULAÇÃO CALDEIRA,0,600,t/h,,,,
I722LY3001,NIVEL VASO SEPARADOR,0,10000,mm,2000,4000,,
I722PT3013,PRESSÃO VASO SEPARADOR,0,250,bar,,,,
I722TE1615,TEMP ENROLAMENTO MOTOR BOMBA 1 RECUPERAÇÃO  DRENOS CALDEIRA,0,150,°C,,,110,
I722TE1621,TEMP MANCAL LNA MOTOR BOMBA 1 RECUPERAÇÃO DRENOS  CALDEIRA,0,150,°C,,,80,90
I722TE1623,TEMP MANCAL LA MOTOR BOMBA 1 RECUPERAÇÃO DRENOS CALDEIRA,0,150,°C,,,80,90
I722TE1635,TEMP ENROLAMENTO MOTOR BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,0,150,°C,,,110,
I722TE1641,TEMP MANCAL LNA MOTOR BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,0,150,°C,,,80,90
I722TE1643,TEMP MANCAL LA MOTOR BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,0,150,°C,,,80,90
I722TE3005,TEMP METAL PAREDE FRONTAL  ENTRADA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3040,TEMP METAL PAREDE TRASEIRA ENTRADA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3075,TEMP METAL PAREDE ESQ ENTRADA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3089,TEMP METAL PAREDE DIREITO ENTRADA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3103,TEMP METAL PAREDE FRONTAL SAIDA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3108,TEMP METAL PAREDE TRASEIRA SAÍDA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3113,TEMP METAL PAREDE ESQUERDO SAÍDA COLETOR EQUALIZAÇÕ EVAPORADOR,50,400,°C,,,,
I722TE3115,TEMP METAL PAREDE DIREITO SAÍDA COLETOR EQUALIZAÇÃO EVAPORADOR,50,400,°C,,,,
I722TE3117,TEMP METAL SAÍDA PAREDE ESPIRAL FRONTAL EVAPORADOR,50,600,°C,,,,
I722TE3151,TEMP METAL SAÍDA PAREDE ESPIRAL TRASEIRA EVAPORADOR,50,600,°C,,,,
I722TE3185,TEMP METAL SAÍDA PAREDE ESPIRAL ESQUERDO EVAPORADOR,50,600,°C,,,,
I722TE3199,TEMP METAL SAÍDA PAREDE ESPIRAL DIREITO EVAPORADOR,50,600,°C,,,,
I722TE3218,TEMP METAL PAREDE TRASEIRA ESQUERDO TETO EVAPORADOR,50,600,°C,,,,
I722TE3252,TEMP METAL EVAPORADOR TETO LADO ESQUERDO,50,600,°C,,,,
I722TE3293,TEMP METAL EVAPORADOR TETO LADO DIREITO,50,600,°C,,,,
I722TE3392,TEMP METAL PAREDE COLETOR ENTRADA SH1B,50,600,°C,,,,
I722TE3399,TEMP METAL PAREDE LATERAL COLETOR ENTRADA SH1C,50,600,°C,,,,
I722TE3401,TEMP METAL PAREDE LATERAL ESQUERDO COLETOR SAÍDA SH1B,50,600,°C,,,,
I722TE3402,TEMP METAL PAREDE CENTRAL COLETOR SAÍDA SH1B,50,600,°C,,,,
I722TE3403,TEMP METAL PAREDE LATERAL DIREITO COLETOR SAÍDA SH1B,50,600,°C,,,,
I722TE3404,TEMP METAL PAREDE LATERAL ESQUERDO COLETOR SAÍDA SH1C,50,600,°C,,,,
I722TE3405,TEMP METAL PAREDE LATERAL DIREITO COLETOR SAÍDA SH1C,50,600,°C,,,,
I722TE3406,TEMP METAL PAREDE FRONTAL SH1E,50,600,°C,,,,
I722TE3407,TEMP METAL PAREDE FRONTAL SH1E,50,600,°C,,,,
I722TE3408,TEMP METAL PAREDE FRONTAL SH1E,50,600,°C,,,,
I722TE3446,TEMP METAL SH3 LADO ESQUERDO,50,600,°C,,,570,
I722TE3447,TEMP METAL SH3 LADO DIREITO,50,600,°C,,,570,
I722TE3463,TEMP METAL TUBULAÇÃO ESQUERDO SAÍDA SH3,50,600,°C,,,570,
I722TE3475,TEMP METAL TUBULAÇÃO CENTRAL SAÍDA SH3,50,600,°C,,,570,
I722TE3487,TEMP METAL TUBULAÇÃO DIREITO SAÍDA SH3,50,600,°C,,,570,
I722TE3513,TEMP METAL PAREDE INTERNA COLETOR SAIDA SH3 LADO DIREITO,50,600,°C,,,570,
I722TE3514,TEMP METAL PAREDE EXTERNA COLETOR SAIDA SH3 LADO DIREITO,50,600,°C,,,570,
I722TE3560,TEMP METAL RH2 LADO ESQUERDO,50,600,°C,,,570,
I722TE3576,TEMP METAL RH2 LADO DIREITO,50,600,°C,,,570,
I722TE3592,TEMP METAL TUBULAÇÃO ESQUERDO  SAÍDA RH2,50,600,°C,,,570,
I722TE3595,TEMP METAL TUBULAÇÃO CENTRAL SAÍDA RH2,50,600,°C,,,570,
I722TE3598,TEMP METAL TUBULAÇÃO DIREITO SAÍDA RH2,50,600,°C,,,570,
I722TE3601,TEMP METAL PAREDE INTERNA COLETOR SAIDA RH2 LADO ESQUERDO,50,600,°C,,,570,
I722TE3602,TEMP METAL PAREDE EXTERNA COLETOR SAIDA RH2 LADO ESQUERDO,50,600,°C,,,570,
I722TE3701,TEMP METAL PAREDE FRONTAL EVAPORADOR,50,600,°C,,,,
I722TE3711,TEMP METAL PAREDE LATERAL ESQUERDO EVAPORADOR,50,600,°C,,,,
