TAG,DESCRIÇÃO,ENTRADA,SAÍDA,SEVERIDADE,ALARME,Invertido,,,
I723DFH3001,RELAÇÃO AR/COMBUSTÍVEL,BAIXO,NORMALIZADO,ALTA,SIM,SIM,,,
I722DFH3004,DIFER FLUXO SAÍDA ECO/ÁGUA ALIMENTAÇÃO,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DLH3001,NÍVEL VASO SEPARADOR - MONITORAÇÃO,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DPH3014,PRESSÃO DIF FILTRO ADM BBA RECIRC CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DPHH3015,PRESSÃO DIF FILTRO ADM BBA RECIRC CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722DPL3017,PRESSÃO DIF BBA RECIRCULAÇÃO CALDEIRA,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DPLL3018,PRESSÃO DIF BBA RECIRCULAÇÃO CALDEIRA,MUITO BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722DTH3336,MONITORAÇÃO TEMP VAPOR SAÍDA EVAP LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3345,MONITORAÇÃO TEMP VAPOR SAÍDA EVAP LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3373,VÁLVULA A22ESM2088 - NÃO COMPLETAMENTE FECHADA (A22DTSH3373),,,,,,,,
I722DTH3374,VÁLVULA A22ESM2087 - NÃO COMPLETAMENTE FECHADA (A22DTSH3374),,,,,,,,
I722DTH3413,MONITORAÇÃO TEMP VAPOR ENTR SH2 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3416,MONITORAÇÃO TEMP VAPOR ENTR SH2 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3419,MONITORAÇÃO TEMP VAPOR SAÍDA SH2 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3422,MONITORAÇÃO TEMP VAPOR SAÍDA SH2 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3426,MONITORAÇÃO TEMP VAPOR ENTR SH3 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3429,MONITORAÇÃO TEMP VAPOR ENTR SH3 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3533,MONITORAÇÃO TEMP VAPOR ENTR RH1 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3536,MONITORAÇÃO TEMP VAPOR ENTR RH1 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3539,MONITORAÇÃO TEMP VAPOR SAÍDA RH1 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3546,MONITORAÇÃO TEMP VAPOR SAÍDA RH1 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3554,MONITORAÇÃO TEMP VAPOR ENTR RH2 LE,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTH3557,MONITORAÇÃO TEMP VAPOR ENTR RH2 LD,DISCREPANCIA,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722DTLL3366,DIF TEMP ADM BBA RECIRC CALD/ÁGUA ALIM,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722EMD1002,BOMBA 1 RECUPERAÇÃO DRENOS CALDEIRA,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EMD1003,BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EMD3001,BOMBA RECIRCULAÇÃO CALDEIRA,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EMD3701,UNID HIDR VVAS SEGURANÇA RH,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EMD3702,UNID HIDR VVAS PARTIDA,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EMD3801,UNID HIDR BYPASS TURBINA AP,DESLIGADA,LIGADA,BAIXA,NÃO,NÃO,,,
I722EME3701,OPERAÇÃO UNID HIDR VVAS SEGURANÇA RH,TEMPO EXCEDIDO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EME3702,OPERAÇÃO UNID HIDR VVAS PARTIDA,TEMPO EXCEDIDO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EME3801,OPERAÇÃO UNID HIDR BYPASS AP TURBINA,TEMPO EXCEDIDO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EML1002,BOMBA 1 RECUPERAÇÃO DRENOS CALDEIRA,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EML1003,BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EML3001,BOMBA RECIRCULAÇÃO CALDEIRA,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EML3701,UNID HIDR VVAS SEGURANÇA RH,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EML3702,UNID HIDR VVAS PARTIDA,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EML3801,UNID HIDR BYPASS TURBINA AP,LIGADA,DESLIGADA,MEDIA,NÃO,NÃO,,,
I722EMT1002,BOMBA 1 RECUPERAÇÃO DRENOS CALDEIRA,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EMT1003,BOMBA 2 RECUPERAÇÃO DRENOS CALDEIRA,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EMT3001,BOMBA RECIRCULAÇÃO CALDEIRA,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EMT3701,UNID HIDR VVAS SEGURANÇA RH,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EMT3702,UNID HIDR VVAS PARTIDA,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EMT3801,UNID HIDR BYPASS TURBINA AP,TRIP ELÉTRICO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZ10170,TRIP CALDEIRA - FALHA ABERTURA BY-PASS APÓS TRIP TURBINA,ATUADO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZ101E30,TRIP CALDEIRA-BBAS ALIM DESL > 10s,ATUADO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZ101E57,TRIP CALDEIRA-FALHA VVLAS TURBINA,ATUADO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZ101E58,TRIP CALDEIRA-VENTILADORES DETETORES CHAMA DESLIGADOS,ATUADO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZ101R,CONDIÇÃO LIBERAÇÃO CHAMA,AUSENTE,NORMALIZADO,ALTA,SIM,NÃO,,,
I722EZXA09,BOTÃO TRIP CALDEIRA - SALA COMANDO,ATUADO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722FL3051,VAZÃO ÁGUA RESFR BAR TERM BB RECIRC CALD,BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722FL3052,VAZÃO ÁGUA RESFR MOTOR BB RECIRC CALD,BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722LL3002,NÍVEL SEPARADOR,BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722LLL3612,NÍVEL TANQUE RECUP DRENOS CALDEIRA,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722LVH3616,NÍVEL TANQUE RECUP DRENOS CALDEIRA,ALTISSIMO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PH3535,PRESSÃO VAPOR ENTRADA RH1 LD CALDEIRA (LOGICA 2 DE 3),ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722PHH3703,PRESSÃO UNID HIDR VVAS SEGURANÇA RH,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PHH3709,PRESSÃO UNID HIDR VVAS PARTIDA,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PHH3803,PRESSÃO UNID HIDR BYPASS TURBINA AP,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PLL3702,PRESSÃO UNID HIDR VVAS SEGURANÇA RH,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PLL3708,PRESSÃO UNID HIDR VVAS PARTIDA,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722PLL3802,PRESSÃO UNID HIDR BYPASS AP TURBINA,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3419,TEMP VAPOR SAÍDA SH2 LE CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3422,TEMP VAPOR SAÍDA SH2 LD CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3534,TEMP VAPOR ENTRADA RH1 LE CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3537,TEMP VAPOR ENTRADA RH1 LD CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3616,TEMP ENROL MOTOR BBA 1 RECUP DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3621,TEMP MANCAL LA OU LNA MOTOR BBA 1 REC DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3636,TEMP ENROL MOTOR BBA 2 RECUP DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3641,TEMP MANCAL LA OU LNA MOTOR BBA 2 REC DREN CALD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3651,TEMP ENROL MOTOR BBA RECIRC CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722TH3658,TEMP ÁGUA RESFR BBA RECIRC CALDEIRA,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3339,TEMP VAPOR SAÍDA EVAPORADOR LE CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3348,TEMP VAPOR SAÍDA EVAPORADOR LD CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,, ,
I722THH3544,TEMP VAPOR SAÍDA RH1 LE CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3551,TEMP VAPOR SAÍDA RH1 LD CALDEIRA,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I722THH3622,TEMP MANCAL LNA MOTOR BBA 1 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I722THH3624,TEMP MANCAL LA MOTOR BBA 1 REC DREN CALD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
